,Date,FieldID,Parcela,Value
0,2015-03-01,NI_147,ASA,2406
1,2015-03-10,NI_147,ASA,2369
2,2015-03-20,NI_147,ASA,2297
3,2015-04-01,NI_147,ASA,2222
4,2015-04-10,NI_147,ASA,2163
5,2015-04-20,NI_147,ASA,2144
6,2015-05-01,NI_147,ASA,2150
7,2015-05-10,NI_147,ASA,2199
8,2015-05-20,NI_147,ASA,2310
9,2015-06-01,NI_147,ASA,2423
10,2015-06-10,NI_147,ASA,2560
11,2015-06-20,NI_147,ASA,2725
12,2015-07-01,NI_147,ASA,2889
13,2015-07-10,NI_147,ASA,3047
14,2015-07-20,NI_147,ASA,3175
15,2015-08-01,NI_147,ASA,3275
16,2015-08-10,NI_147,ASA,3358
17,2015-08-20,NI_147,ASA,3416
18,2015-09-01,NI_147,ASA,3447
19,2015-09-10,NI_147,ASA,3457
20,2015-09-20,NI_147,ASA,3449
21,2015-10-01,NI_147,ASA,3424
22,2015-10-10,NI_147,ASA,3385
23,2015-10-20,NI_147,ASA,3340
24,2015-11-01,NI_147,ASA,3295
25,2015-11-10,NI_147,ASA,3256
26,2015-11-20,NI_147,ASA,3229
27,2015-12-01,NI_147,ASA,3198
28,2015-12-10,NI_147,ASA,3153
29,2015-12-20,NI_147,ASA,3088
30,2016-01-01,NI_147,ASA,2985
31,2016-01-10,NI_147,ASA,2817
32,2016-01-20,NI_147,ASA,2632
33,2016-02-01,NI_147,ASA,2452
34,2016-02-10,NI_147,ASA,2312
35,2016-02-20,NI_147,ASA,2177
36,2016-03-01,NI_147,ASA,2195
37,2016-03-10,NI_147,ASA,2126
38,2016-03-20,NI_147,ASA,2060
39,2016-04-01,NI_147,ASA,2020
40,2016-04-10,NI_147,ASA,1996
41,2016-04-20,NI_147,ASA,2007
42,2016-05-01,NI_147,ASA,2045
43,2016-05-10,NI_147,ASA,2110
44,2016-05-20,NI_147,ASA,2198
45,2016-06-01,NI_147,ASA,2299
46,2016-06-10,NI_147,ASA,2413
47,2016-06-20,NI_147,ASA,2533
48,2016-07-01,NI_147,ASA,2677
49,2016-07-10,NI_147,ASA,2823
50,2016-07-20,NI_147,ASA,2963
51,2016-08-01,NI_147,ASA,3068
52,2016-08-10,NI_147,ASA,3160
53,2016-08-20,NI_147,ASA,3215
54,2016-09-01,NI_147,ASA,3238
55,2016-09-10,NI_147,ASA,3217
56,2016-09-20,NI_147,ASA,3158
57,2016-10-01,NI_147,ASA,3037
58,2016-10-10,NI_147,ASA,2875
59,2016-10-20,NI_147,ASA,2699
60,2016-11-01,NI_147,ASA,2577
61,2016-11-10,NI_147,ASA,2514
62,2016-11-20,NI_147,ASA,2501
63,2016-12-01,NI_147,ASA,2558
64,2016-12-10,NI_147,ASA,2684
65,2016-12-20,NI_147,ASA,2847
66,2017-01-01,NI_147,ASA,2961
67,2017-01-10,NI_147,ASA,3008
68,2017-01-20,NI_147,ASA,3005
69,2017-02-01,NI_147,ASA,2922
70,2017-02-10,NI_147,ASA,2756
71,2017-02-20,NI_147,ASA,2574
72,2017-03-01,NI_147,ASA,2357
73,2017-03-10,NI_147,ASA,2242
74,2017-03-20,NI_147,ASA,2135
75,2017-04-01,NI_147,ASA,2080
76,2017-04-10,NI_147,ASA,2039
77,2017-04-20,NI_147,ASA,2021
78,2017-05-01,NI_147,ASA,2026
79,2017-05-10,NI_147,ASA,2053
80,2017-05-20,NI_147,ASA,2106
81,2017-06-01,NI_147,ASA,2180
82,2017-06-10,NI_147,ASA,2278
83,2017-06-20,NI_147,ASA,2388
84,2017-07-01,NI_147,ASA,2504
85,2017-07-10,NI_147,ASA,2630
86,2017-07-20,NI_147,ASA,2761
87,2017-08-01,NI_147,ASA,2863
88,2017-08-10,NI_147,ASA,2929
89,2017-08-20,NI_147,ASA,2959
90,2017-09-01,NI_147,ASA,2953
91,2017-09-10,NI_147,ASA,2911
92,2017-09-20,NI_147,ASA,2842
93,2017-10-01,NI_147,ASA,2764
94,2017-10-10,NI_147,ASA,2701
95,2017-10-20,NI_147,ASA,2652
96,2017-11-01,NI_147,ASA,2623
97,2017-11-10,NI_147,ASA,2621
98,2017-11-20,NI_147,ASA,2641
99,2017-12-01,NI_147,ASA,2689
100,2017-12-10,NI_147,ASA,2753
101,2017-12-20,NI_147,ASA,2816
102,2018-01-01,NI_147,ASA,2870
103,2018-01-10,NI_147,ASA,2904
104,2018-01-20,NI_147,ASA,2908
105,2018-02-01,NI_147,ASA,2881
106,2018-02-10,NI_147,ASA,2810
107,2018-02-20,NI_147,ASA,2687
108,2018-03-01,NI_147,ASA,2363
109,2018-03-10,NI_147,ASA,2274
110,2018-03-20,NI_147,ASA,2191
111,2018-04-01,NI_147,ASA,2126
112,2018-04-10,NI_147,ASA,2081
113,2018-04-20,NI_147,ASA,2068
114,2018-05-01,NI_147,ASA,2090
115,2018-05-10,NI_147,ASA,2161
116,2018-05-20,NI_147,ASA,2263
117,2018-06-01,NI_147,ASA,2418
118,2018-06-10,NI_147,ASA,2609
119,2018-06-20,NI_147,ASA,2815
120,2018-07-01,NI_147,ASA,3042
121,2018-07-10,NI_147,ASA,3257
122,2018-07-20,NI_147,ASA,3429
123,2018-08-01,NI_147,ASA,3534
124,2018-08-10,NI_147,ASA,3593
125,2018-08-20,NI_147,ASA,3601
126,2018-09-01,NI_147,ASA,3542
127,2018-09-10,NI_147,ASA,3399
128,2018-09-20,NI_147,ASA,3165
129,2018-10-01,NI_147,ASA,2913
130,2018-10-10,NI_147,ASA,2709
131,2018-10-20,NI_147,ASA,2604
132,2018-11-01,NI_147,ASA,2581
133,2018-11-10,NI_147,ASA,2614
134,2018-11-20,NI_147,ASA,2711
135,2018-12-01,NI_147,ASA,2843
136,2018-12-10,NI_147,ASA,2917
137,2018-12-20,NI_147,ASA,2937
138,2019-01-01,NI_147,ASA,2894
139,2019-01-10,NI_147,ASA,2723
140,2019-01-20,NI_147,ASA,2513
141,2019-02-01,NI_147,ASA,2268
142,2019-02-10,NI_147,ASA,2071
143,2019-02-20,NI_147,ASA,1919
144,2019-03-01,NI_147,ASA,1785
145,2019-03-10,NI_147,ASA,1746
146,2019-03-20,NI_147,ASA,1710
147,2019-04-01,NI_147,ASA,1692
148,2019-04-10,NI_147,ASA,1691
149,2019-04-20,NI_147,ASA,1702
150,2019-05-01,NI_147,ASA,1721
151,2019-05-10,NI_147,ASA,1761
152,2019-05-20,NI_147,ASA,1824
153,2019-06-01,NI_147,ASA,1916
154,2019-06-10,NI_147,ASA,2028
155,2019-06-20,NI_147,ASA,2187
156,2019-07-01,NI_147,ASA,2397
157,2019-07-10,NI_147,ASA,2704
158,2019-07-20,NI_147,ASA,3060
159,2019-08-01,NI_147,ASA,3272
160,2019-08-10,NI_147,ASA,3320
161,2019-08-20,NI_147,ASA,3313
162,2019-09-01,NI_147,ASA,3185
163,2019-09-10,NI_147,ASA,2971
164,2019-09-20,NI_147,ASA,2766
165,2019-10-01,NI_147,ASA,2632
166,2019-10-10,NI_147,ASA,2571
167,2019-10-20,NI_147,ASA,2553
168,2019-11-01,NI_147,ASA,2595
169,2019-11-10,NI_147,ASA,2702
