,Date,FieldID,Parcela,Value
1302,2017-03-01,448-201270-0000H,Testigo,1912
1303,2017-03-10,448-201270-0000H,Testigo,1883
1304,2017-03-20,448-201270-0000H,Testigo,1883
1305,2017-04-01,448-201270-0000H,Testigo,1933
1306,2017-04-10,448-201270-0000H,Testigo,2024
1307,2017-04-20,448-201270-0000H,Testigo,2158
1308,2017-05-01,448-201270-0000H,Testigo,2340
1309,2017-05-10,448-201270-0000H,Testigo,2543
1310,2017-05-20,448-201270-0000H,Testigo,2763
1311,2017-06-01,448-201270-0000H,Testigo,2968
1312,2017-06-10,448-201270-0000H,Testigo,3146
1313,2017-06-20,448-201270-0000H,Testigo,3295
1314,2017-07-01,448-201270-0000H,Testigo,3405
1315,2017-07-10,448-201270-0000H,Testigo,3515
1316,2017-07-20,448-201270-0000H,Testigo,3597
1317,2017-08-01,448-201270-0000H,Testigo,3662
1318,2017-08-10,448-201270-0000H,Testigo,3702
1319,2017-08-20,448-201270-0000H,Testigo,3718
1320,2017-09-01,448-201270-0000H,Testigo,3724
1321,2017-09-10,448-201270-0000H,Testigo,3723
1322,2017-09-20,448-201270-0000H,Testigo,3722
1323,2017-10-01,448-201270-0000H,Testigo,3721
1324,2017-10-10,448-201270-0000H,Testigo,3721
1325,2017-10-20,448-201270-0000H,Testigo,3712
1326,2017-11-01,448-201270-0000H,Testigo,3683
1327,2017-11-10,448-201270-0000H,Testigo,3623
1328,2017-11-20,448-201270-0000H,Testigo,3519
1329,2017-12-01,448-201270-0000H,Testigo,3352
1330,2017-12-10,448-201270-0000H,Testigo,3165
1331,2017-12-20,448-201270-0000H,Testigo,3019
1332,2018-01-01,448-201270-0000H,Testigo,2914
1333,2018-01-10,448-201270-0000H,Testigo,2817
1334,2018-01-20,448-201270-0000H,Testigo,2730
1335,2018-02-01,448-201270-0000H,Testigo,2635
1336,2018-02-10,448-201270-0000H,Testigo,2522
1337,2018-02-20,448-201270-0000H,Testigo,2399
1338,2018-03-01,448-201270-0000H,Testigo,2210
1339,2018-03-10,448-201270-0000H,Testigo,2125
1340,2018-03-20,448-201270-0000H,Testigo,2060
1341,2018-04-01,448-201270-0000H,Testigo,2022
1342,2018-04-10,448-201270-0000H,Testigo,2012
1343,2018-04-20,448-201270-0000H,Testigo,2043
1344,2018-05-01,448-201270-0000H,Testigo,2135
1345,2018-05-10,448-201270-0000H,Testigo,2243
1346,2018-05-20,448-201270-0000H,Testigo,2396
1347,2018-06-01,448-201270-0000H,Testigo,2574
1348,2018-06-10,448-201270-0000H,Testigo,2764
1349,2018-06-20,448-201270-0000H,Testigo,2938
1350,2018-07-01,448-201270-0000H,Testigo,3033
1351,2018-07-10,448-201270-0000H,Testigo,3074
