,Date,FieldID,Parcela,Value
0,2015-03-01,NI_147,ASA,3409
1,2015-03-10,NI_147,ASA,3351
2,2015-03-20,NI_147,ASA,3256
3,2015-04-01,NI_147,ASA,3097
4,2015-04-10,NI_147,ASA,2962
5,2015-04-20,NI_147,ASA,2897
6,2015-05-01,NI_147,ASA,2890
7,2015-05-10,NI_147,ASA,2947
8,2015-05-20,NI_147,ASA,3119
9,2015-06-01,NI_147,ASA,3423
10,2015-06-10,NI_147,ASA,3690
11,2015-06-20,NI_147,ASA,3958
12,2015-07-01,NI_147,ASA,4293
13,2015-07-10,NI_147,ASA,4688
14,2015-07-20,NI_147,ASA,5026
15,2015-08-01,NI_147,ASA,5235
16,2015-08-10,NI_147,ASA,5324
17,2015-08-20,NI_147,ASA,5357
18,2015-09-01,NI_147,ASA,5354
19,2015-09-10,NI_147,ASA,5303
20,2015-09-20,NI_147,ASA,5211
21,2015-10-01,NI_147,ASA,5095
22,2015-10-10,NI_147,ASA,4957
23,2015-10-20,NI_147,ASA,4778
24,2015-11-01,NI_147,ASA,4553
25,2015-11-10,NI_147,ASA,4411
26,2015-11-20,NI_147,ASA,4360
27,2015-12-01,NI_147,ASA,4348
28,2015-12-10,NI_147,ASA,4331
29,2015-12-20,NI_147,ASA,4319
30,2016-01-01,NI_147,ASA,4180
31,2016-01-10,NI_147,ASA,3898
32,2016-01-20,NI_147,ASA,3499
33,2016-02-01,NI_147,ASA,3095
34,2016-02-10,NI_147,ASA,2789
35,2016-02-20,NI_147,ASA,2577
36,2016-03-01,NI_147,ASA,2635
37,2016-03-10,NI_147,ASA,2527
38,2016-03-20,NI_147,ASA,2422
39,2016-04-01,NI_147,ASA,2366
40,2016-04-10,NI_147,ASA,2343
41,2016-04-20,NI_147,ASA,2375
42,2016-05-01,NI_147,ASA,2458
43,2016-05-10,NI_147,ASA,2570
44,2016-05-20,NI_147,ASA,2717
45,2016-06-01,NI_147,ASA,2882
46,2016-06-10,NI_147,ASA,3064
47,2016-06-20,NI_147,ASA,3235
48,2016-07-01,NI_147,ASA,3425
49,2016-07-10,NI_147,ASA,3614
50,2016-07-20,NI_147,ASA,3762
51,2016-08-01,NI_147,ASA,3877
52,2016-08-10,NI_147,ASA,3964
53,2016-08-20,NI_147,ASA,4006
54,2016-09-01,NI_147,ASA,4005
55,2016-09-10,NI_147,ASA,3965
56,2016-09-20,NI_147,ASA,3887
57,2016-10-01,NI_147,ASA,3782
58,2016-10-10,NI_147,ASA,3634
59,2016-10-20,NI_147,ASA,3479
60,2016-11-01,NI_147,ASA,3377
61,2016-11-10,NI_147,ASA,3377
62,2016-11-20,NI_147,ASA,3426
63,2016-12-01,NI_147,ASA,3618
64,2016-12-10,NI_147,ASA,3896
65,2016-12-20,NI_147,ASA,4254
66,2017-01-01,NI_147,ASA,4545
67,2017-01-10,NI_147,ASA,4649
68,2017-01-20,NI_147,ASA,4637
69,2017-02-01,NI_147,ASA,4486
70,2017-02-10,NI_147,ASA,4143
71,2017-02-20,NI_147,ASA,3695
72,2017-03-01,NI_147,ASA,3354
73,2017-03-10,NI_147,ASA,3107
74,2017-03-20,NI_147,ASA,2965
75,2017-04-01,NI_147,ASA,2889
76,2017-04-10,NI_147,ASA,2845
77,2017-04-20,NI_147,ASA,2834
78,2017-05-01,NI_147,ASA,2846
79,2017-05-10,NI_147,ASA,2861
80,2017-05-20,NI_147,ASA,2891
81,2017-06-01,NI_147,ASA,2936
82,2017-06-10,NI_147,ASA,3007
83,2017-06-20,NI_147,ASA,3100
84,2017-07-01,NI_147,ASA,3226
85,2017-07-10,NI_147,ASA,3386
86,2017-07-20,NI_147,ASA,3567
87,2017-08-01,NI_147,ASA,3740
88,2017-08-10,NI_147,ASA,3858
89,2017-08-20,NI_147,ASA,3896
90,2017-09-01,NI_147,ASA,3891
91,2017-09-10,NI_147,ASA,3827
92,2017-09-20,NI_147,ASA,3719
93,2017-10-01,NI_147,ASA,3597
94,2017-10-10,NI_147,ASA,3502
95,2017-10-20,NI_147,ASA,3441
96,2017-11-01,NI_147,ASA,3415
97,2017-11-10,NI_147,ASA,3443
98,2017-11-20,NI_147,ASA,3521
99,2017-12-01,NI_147,ASA,3636
100,2017-12-10,NI_147,ASA,3777
101,2017-12-20,NI_147,ASA,3921
102,2018-01-01,NI_147,ASA,3984
103,2018-01-10,NI_147,ASA,3981
104,2018-01-20,NI_147,ASA,3923
105,2018-02-01,NI_147,ASA,3794
106,2018-02-10,NI_147,ASA,3594
107,2018-02-20,NI_147,ASA,3325
108,2018-03-01,NI_147,ASA,3022
109,2018-03-10,NI_147,ASA,2833
110,2018-03-20,NI_147,ASA,2639
111,2018-04-01,NI_147,ASA,2461
112,2018-04-10,NI_147,ASA,2339
113,2018-04-20,NI_147,ASA,2289
114,2018-05-01,NI_147,ASA,2306
115,2018-05-10,NI_147,ASA,2375
116,2018-05-20,NI_147,ASA,2551
117,2018-06-01,NI_147,ASA,2849
118,2018-06-10,NI_147,ASA,3222
119,2018-06-20,NI_147,ASA,3617
120,2018-07-01,NI_147,ASA,4121
121,2018-07-10,NI_147,ASA,4625
122,2018-07-20,NI_147,ASA,5046
123,2018-08-01,NI_147,ASA,5423
