,Date,FieldID,Parcela,Value
0,2015-03-01,NI_147,ASA,2854
1,2015-03-10,NI_147,ASA,2772
2,2015-03-20,NI_147,ASA,2625
3,2015-04-01,NI_147,ASA,2459
4,2015-04-10,NI_147,ASA,2356
5,2015-04-20,NI_147,ASA,2330
6,2015-05-01,NI_147,ASA,2360
7,2015-05-10,NI_147,ASA,2479
8,2015-05-20,NI_147,ASA,2671
9,2015-06-01,NI_147,ASA,2882
10,2015-06-10,NI_147,ASA,3092
11,2015-06-20,NI_147,ASA,3392
12,2015-07-01,NI_147,ASA,3718
13,2015-07-10,NI_147,ASA,4099
14,2015-07-20,NI_147,ASA,4442
15,2015-08-01,NI_147,ASA,4747
16,2015-08-10,NI_147,ASA,4898
17,2015-08-20,NI_147,ASA,4967
18,2015-09-01,NI_147,ASA,4990
19,2015-09-10,NI_147,ASA,4972
20,2015-09-20,NI_147,ASA,4912
21,2015-10-01,NI_147,ASA,4827
22,2015-10-10,NI_147,ASA,4700
23,2015-10-20,NI_147,ASA,4573
24,2015-11-01,NI_147,ASA,4426
25,2015-11-10,NI_147,ASA,4357
26,2015-11-20,NI_147,ASA,4355
27,2015-12-01,NI_147,ASA,4397
28,2015-12-10,NI_147,ASA,4443
29,2015-12-20,NI_147,ASA,4497
30,2016-01-01,NI_147,ASA,4360
31,2016-01-10,NI_147,ASA,3977
32,2016-01-20,NI_147,ASA,3391
33,2016-02-01,NI_147,ASA,2898
34,2016-02-10,NI_147,ASA,2455
35,2016-02-20,NI_147,ASA,2039
36,2016-03-01,NI_147,ASA,2129
37,2016-03-10,NI_147,ASA,1837
38,2016-03-20,NI_147,ASA,1519
39,2016-04-01,NI_147,ASA,1354
40,2016-04-10,NI_147,ASA,1279
41,2016-04-20,NI_147,ASA,1294
42,2016-05-01,NI_147,ASA,1373
43,2016-05-10,NI_147,ASA,1511
44,2016-05-20,NI_147,ASA,1728
45,2016-06-01,NI_147,ASA,2016
46,2016-06-10,NI_147,ASA,2277
47,2016-06-20,NI_147,ASA,2627
48,2016-07-01,NI_147,ASA,3066
49,2016-07-10,NI_147,ASA,3433
50,2016-07-20,NI_147,ASA,3701
51,2016-08-01,NI_147,ASA,3920
52,2016-08-10,NI_147,ASA,4105
53,2016-08-20,NI_147,ASA,4226
54,2016-09-01,NI_147,ASA,4250
55,2016-09-10,NI_147,ASA,4209
56,2016-09-20,NI_147,ASA,4126
57,2016-10-01,NI_147,ASA,3991
58,2016-10-10,NI_147,ASA,3812
59,2016-10-20,NI_147,ASA,3610
60,2016-11-01,NI_147,ASA,3395
61,2016-11-10,NI_147,ASA,3314
62,2016-11-20,NI_147,ASA,3382
63,2016-12-01,NI_147,ASA,3586
64,2016-12-10,NI_147,ASA,3892
65,2016-12-20,NI_147,ASA,4249
66,2017-01-01,NI_147,ASA,4545
67,2017-01-10,NI_147,ASA,4651
68,2017-01-20,NI_147,ASA,4635
69,2017-02-01,NI_147,ASA,4389
70,2017-02-10,NI_147,ASA,3878
71,2017-02-20,NI_147,ASA,3331
72,2017-03-01,NI_147,ASA,2980
73,2017-03-10,NI_147,ASA,2674
74,2017-03-20,NI_147,ASA,2411
75,2017-04-01,NI_147,ASA,2294
76,2017-04-10,NI_147,ASA,2239
77,2017-04-20,NI_147,ASA,2220
78,2017-05-01,NI_147,ASA,2237
79,2017-05-10,NI_147,ASA,2299
80,2017-05-20,NI_147,ASA,2396
81,2017-06-01,NI_147,ASA,2519
82,2017-06-10,NI_147,ASA,2684
83,2017-06-20,NI_147,ASA,2910
84,2017-07-01,NI_147,ASA,3236
85,2017-07-10,NI_147,ASA,3578
86,2017-07-20,NI_147,ASA,3936
87,2017-08-01,NI_147,ASA,4257
88,2017-08-10,NI_147,ASA,4419
89,2017-08-20,NI_147,ASA,4432
90,2017-09-01,NI_147,ASA,4387
91,2017-09-10,NI_147,ASA,4257
92,2017-09-20,NI_147,ASA,4069
93,2017-10-01,NI_147,ASA,3887
94,2017-10-10,NI_147,ASA,3774
95,2017-10-20,NI_147,ASA,3718
96,2017-11-01,NI_147,ASA,3692
97,2017-11-10,NI_147,ASA,3708
98,2017-11-20,NI_147,ASA,3763
99,2017-12-01,NI_147,ASA,3853
100,2017-12-10,NI_147,ASA,3967
101,2017-12-20,NI_147,ASA,4068
102,2018-01-01,NI_147,ASA,4118
103,2018-01-10,NI_147,ASA,4129
104,2018-01-20,NI_147,ASA,4109
105,2018-02-01,NI_147,ASA,4020
106,2018-02-10,NI_147,ASA,3861
107,2018-02-20,NI_147,ASA,3575
108,2018-03-01,NI_147,ASA,3094
109,2018-03-10,NI_147,ASA,2804
110,2018-03-20,NI_147,ASA,2467
111,2018-04-01,NI_147,ASA,2088
112,2018-04-10,NI_147,ASA,1795
113,2018-04-20,NI_147,ASA,1646
114,2018-05-01,NI_147,ASA,1605
115,2018-05-10,NI_147,ASA,1663
116,2018-05-20,NI_147,ASA,1859
117,2018-06-01,NI_147,ASA,2249
118,2018-06-10,NI_147,ASA,2847
119,2018-06-20,NI_147,ASA,3515
120,2018-07-01,NI_147,ASA,4171
121,2018-07-10,NI_147,ASA,4828
122,2018-07-20,NI_147,ASA,5402
123,2018-08-01,NI_147,ASA,5772
124,2018-08-10,NI_147,ASA,5927
125,2018-08-20,NI_147,ASA,5912
126,2018-09-01,NI_147,ASA,5749
127,2018-09-10,NI_147,ASA,5444
128,2018-09-20,NI_147,ASA,5067
129,2018-10-01,NI_147,ASA,4642
130,2018-10-10,NI_147,ASA,4239
131,2018-10-20,NI_147,ASA,4015
132,2018-11-01,NI_147,ASA,3907
133,2018-11-10,NI_147,ASA,3960
134,2018-11-20,NI_147,ASA,4144
135,2018-12-01,NI_147,ASA,4511
136,2018-12-10,NI_147,ASA,4845
137,2018-12-20,NI_147,ASA,5045
138,2019-01-01,NI_147,ASA,5033
139,2019-01-10,NI_147,ASA,4609
140,2019-01-20,NI_147,ASA,3838
141,2019-02-01,NI_147,ASA,3021
142,2019-02-10,NI_147,ASA,2423
143,2019-02-20,NI_147,ASA,1927
144,2019-03-01,NI_147,ASA,1540
145,2019-03-10,NI_147,ASA,1326
146,2019-03-20,NI_147,ASA,1129
147,2019-04-01,NI_147,ASA,1005
148,2019-04-10,NI_147,ASA,971
149,2019-04-20,NI_147,ASA,1007
150,2019-05-01,NI_147,ASA,1086
151,2019-05-10,NI_147,ASA,1260
152,2019-05-20,NI_147,ASA,1604
153,2019-06-01,NI_147,ASA,2046
154,2019-06-10,NI_147,ASA,2593
155,2019-06-20,NI_147,ASA,3248
156,2019-07-01,NI_147,ASA,3866
157,2019-07-10,NI_147,ASA,4529
158,2019-07-20,NI_147,ASA,5189
159,2019-08-01,NI_147,ASA,5612
160,2019-08-10,NI_147,ASA,5788
161,2019-08-20,NI_147,ASA,5752
162,2019-09-01,NI_147,ASA,5421
163,2019-09-10,NI_147,ASA,4998
