,Date,FieldID,Parcela,Value
0,2015-03-01,NI_147,ASA,2896
1,2015-03-10,NI_147,ASA,2823
2,2015-03-20,NI_147,ASA,2693
3,2015-04-01,NI_147,ASA,2552
4,2015-04-10,NI_147,ASA,2444
5,2015-04-20,NI_147,ASA,2389
6,2015-05-01,NI_147,ASA,2386
7,2015-05-10,NI_147,ASA,2451
8,2015-05-20,NI_147,ASA,2584
9,2015-06-01,NI_147,ASA,2776
10,2015-06-10,NI_147,ASA,3061
11,2015-06-20,NI_147,ASA,3367
12,2015-07-01,NI_147,ASA,3696
13,2015-07-10,NI_147,ASA,4057
14,2015-07-20,NI_147,ASA,4382
15,2015-08-01,NI_147,ASA,4650
16,2015-08-10,NI_147,ASA,4785
17,2015-08-20,NI_147,ASA,4852
18,2015-09-01,NI_147,ASA,4872
19,2015-09-10,NI_147,ASA,4850
20,2015-09-20,NI_147,ASA,4777
21,2015-10-01,NI_147,ASA,4666
22,2015-10-10,NI_147,ASA,4500
23,2015-10-20,NI_147,ASA,4245
24,2015-11-01,NI_147,ASA,3899
25,2015-11-10,NI_147,ASA,3628
26,2015-11-20,NI_147,ASA,3511
27,2015-12-01,NI_147,ASA,3471
28,2015-12-10,NI_147,ASA,3421
29,2015-12-20,NI_147,ASA,3377
30,2016-01-01,NI_147,ASA,3256
31,2016-01-10,NI_147,ASA,3056
32,2016-01-20,NI_147,ASA,2802
33,2016-02-01,NI_147,ASA,2522
34,2016-02-10,NI_147,ASA,2273
35,2016-02-20,NI_147,ASA,2092
36,2016-03-01,NI_147,ASA,2277
37,2016-03-10,NI_147,ASA,2126
38,2016-03-20,NI_147,ASA,1943
39,2016-04-01,NI_147,ASA,1818
40,2016-04-10,NI_147,ASA,1737
41,2016-04-20,NI_147,ASA,1720
42,2016-05-01,NI_147,ASA,1750
43,2016-05-10,NI_147,ASA,1826
44,2016-05-20,NI_147,ASA,1930
45,2016-06-01,NI_147,ASA,2056
46,2016-06-10,NI_147,ASA,2193
47,2016-06-20,NI_147,ASA,2342
48,2016-07-01,NI_147,ASA,2480
49,2016-07-10,NI_147,ASA,2608
50,2016-07-20,NI_147,ASA,2716
51,2016-08-01,NI_147,ASA,2785
52,2016-08-10,NI_147,ASA,2826
53,2016-08-20,NI_147,ASA,2841
54,2016-09-01,NI_147,ASA,2827
55,2016-09-10,NI_147,ASA,2792
56,2016-09-20,NI_147,ASA,2746
57,2016-10-01,NI_147,ASA,2696
58,2016-10-10,NI_147,ASA,2657
59,2016-10-20,NI_147,ASA,2642
60,2016-11-01,NI_147,ASA,2661
61,2016-11-10,NI_147,ASA,2737
62,2016-11-20,NI_147,ASA,2852
63,2016-12-01,NI_147,ASA,3035
64,2016-12-10,NI_147,ASA,3296
65,2016-12-20,NI_147,ASA,3587
