,Date,FieldID,Parcela,Value
1732,2015-06-10,NI_634,ASA,3204
1733,2015-06-20,NI_634,ASA,3291
1734,2015-07-01,NI_634,ASA,3365
1735,2015-07-10,NI_634,ASA,3424
1736,2015-07-20,NI_634,ASA,3474
1737,2015-08-01,NI_634,ASA,3519
1738,2015-08-10,NI_634,ASA,3560
1739,2015-08-20,NI_634,ASA,3599
1740,2015-09-01,NI_634,ASA,3649
1741,2015-09-10,NI_634,ASA,3715
1742,2015-09-20,NI_634,ASA,3801
1743,2015-10-01,NI_634,ASA,3916
1744,2015-10-10,NI_634,ASA,4152
1745,2015-10-20,NI_634,ASA,4589
1746,2015-11-01,NI_634,ASA,5143
1747,2015-11-10,NI_634,ASA,5543
1748,2015-11-20,NI_634,ASA,5718
1749,2015-12-01,NI_634,ASA,5692
1750,2015-12-10,NI_634,ASA,5413
1751,2015-12-20,NI_634,ASA,4982
1752,2016-01-01,NI_634,ASA,4542
1753,2016-01-10,NI_634,ASA,4149
1754,2016-01-20,NI_634,ASA,3779
1755,2016-02-01,NI_634,ASA,3420
1756,2016-02-10,NI_634,ASA,3130
1757,2016-02-20,NI_634,ASA,2855
1758,2016-03-01,NI_634,ASA,2764
1759,2016-03-10,NI_634,ASA,2550
1760,2016-03-20,NI_634,ASA,2306
1761,2016-04-01,NI_634,ASA,2136
1762,2016-04-10,NI_634,ASA,2058
1763,2016-04-20,NI_634,ASA,2038
1764,2016-05-01,NI_634,ASA,2077
1765,2016-05-10,NI_634,ASA,2177
1766,2016-05-20,NI_634,ASA,2331
1767,2016-06-01,NI_634,ASA,2556
1768,2016-06-10,NI_634,ASA,2893
1769,2016-06-20,NI_634,ASA,3239
1770,2016-07-01,NI_634,ASA,3519
1771,2016-07-10,NI_634,ASA,3726
1772,2016-07-20,NI_634,ASA,3881
1773,2016-08-01,NI_634,ASA,3986
1774,2016-08-10,NI_634,ASA,4073
1775,2016-08-20,NI_634,ASA,4145
1776,2016-09-01,NI_634,ASA,4221
1777,2016-09-10,NI_634,ASA,4280
1778,2016-09-20,NI_634,ASA,4412
1779,2016-10-01,NI_634,ASA,4794
1780,2016-10-10,NI_634,ASA,5526
1781,2016-10-20,NI_634,ASA,6252
1782,2016-11-01,NI_634,ASA,6911
1783,2016-11-10,NI_634,ASA,7316
1784,2016-11-20,NI_634,ASA,7564
1785,2016-12-01,NI_634,ASA,7734
1786,2016-12-10,NI_634,ASA,7664
1787,2016-12-20,NI_634,ASA,7388
1788,2017-01-01,NI_634,ASA,6633
1789,2017-01-10,NI_634,ASA,5783
1790,2017-01-20,NI_634,ASA,5024
1791,2017-02-01,NI_634,ASA,4408
1792,2017-02-10,NI_634,ASA,3916
1793,2017-02-20,NI_634,ASA,3426
1794,2017-03-01,NI_634,ASA,3111
1795,2017-03-10,NI_634,ASA,2773
1796,2017-03-20,NI_634,ASA,2422
1797,2017-04-01,NI_634,ASA,2207
1798,2017-04-10,NI_634,ASA,2211
1799,2017-04-20,NI_634,ASA,2250
1800,2017-05-01,NI_634,ASA,2459
1801,2017-05-10,NI_634,ASA,2920
1802,2017-05-20,NI_634,ASA,3498
1803,2017-06-01,NI_634,ASA,4197
1804,2017-06-10,NI_634,ASA,5091
1805,2017-06-20,NI_634,ASA,5686
1806,2017-07-01,NI_634,ASA,6226
1807,2017-07-10,NI_634,ASA,6654
1808,2017-07-20,NI_634,ASA,6946
1809,2017-08-01,NI_634,ASA,7033
1810,2017-08-10,NI_634,ASA,6788
1811,2017-08-20,NI_634,ASA,6208
1812,2017-09-01,NI_634,ASA,5286
1813,2017-09-10,NI_634,ASA,4777
1814,2017-09-20,NI_634,ASA,4457
1815,2017-10-01,NI_634,ASA,4289
1816,2017-10-10,NI_634,ASA,4266
1817,2017-10-20,NI_634,ASA,4308
1818,2017-11-01,NI_634,ASA,4502
1819,2017-11-10,NI_634,ASA,4854
1820,2017-11-20,NI_634,ASA,5157
1821,2017-12-01,NI_634,ASA,5190
1822,2017-12-10,NI_634,ASA,5042
1823,2017-12-20,NI_634,ASA,4934
1824,2018-01-01,NI_634,ASA,4904
1825,2018-01-10,NI_634,ASA,4915
1826,2018-01-20,NI_634,ASA,4918
1827,2018-02-01,NI_634,ASA,4904
1828,2018-02-10,NI_634,ASA,4829
1829,2018-02-20,NI_634,ASA,4670
1830,2018-03-01,NI_634,ASA,4361
1831,2018-03-10,NI_634,ASA,4070
1832,2018-03-20,NI_634,ASA,3629
1833,2018-04-01,NI_634,ASA,3177
1834,2018-04-10,NI_634,ASA,2817
1835,2018-04-20,NI_634,ASA,2542
1836,2018-05-01,NI_634,ASA,2441
1837,2018-05-10,NI_634,ASA,2448
1838,2018-05-20,NI_634,ASA,2561
1839,2018-06-01,NI_634,ASA,2732
1840,2018-06-10,NI_634,ASA,3010
1841,2018-06-20,NI_634,ASA,3353
1842,2018-07-01,NI_634,ASA,3703
1843,2018-07-10,NI_634,ASA,3941
1844,2018-07-20,NI_634,ASA,4077
1845,2018-08-01,NI_634,ASA,3833
1846,2018-08-10,NI_634,ASA,3386
1847,2018-08-20,NI_634,ASA,3112
1848,2018-09-01,NI_634,ASA,3139
1849,2018-09-10,NI_634,ASA,3424
1850,2018-09-20,NI_634,ASA,4061
1851,2018-10-01,NI_634,ASA,4699
1852,2018-10-10,NI_634,ASA,5677
1853,2018-10-20,NI_634,ASA,6678
1854,2018-11-01,NI_634,ASA,7294
1855,2018-11-10,NI_634,ASA,7624
1856,2018-11-20,NI_634,ASA,7704
1857,2018-12-01,NI_634,ASA,7489
1858,2018-12-10,NI_634,ASA,7260
1859,2018-12-20,NI_634,ASA,6934
1860,2019-01-01,NI_634,ASA,6360
1861,2019-01-10,NI_634,ASA,5189
1862,2019-01-20,NI_634,ASA,4210
1863,2019-02-01,NI_634,ASA,3512
1864,2019-02-10,NI_634,ASA,3152
1865,2019-02-20,NI_634,ASA,2960
1866,2019-03-01,NI_634,ASA,2769
1867,2019-03-10,NI_634,ASA,2618
1868,2019-03-20,NI_634,ASA,2392
1869,2019-04-01,NI_634,ASA,2140
1870,2019-04-10,NI_634,ASA,2003
1871,2019-04-20,NI_634,ASA,1983
1872,2019-05-01,NI_634,ASA,2036
1873,2019-05-10,NI_634,ASA,2168
1874,2019-05-20,NI_634,ASA,2515
1875,2019-06-01,NI_634,ASA,3094
1876,2019-06-10,NI_634,ASA,3691
1877,2019-06-20,NI_634,ASA,4441
1878,2019-07-01,NI_634,ASA,5404
1879,2019-07-10,NI_634,ASA,5982
1880,2019-07-20,NI_634,ASA,6179
1881,2019-08-01,NI_634,ASA,6037
1882,2019-08-10,NI_634,ASA,5666
1883,2019-08-20,NI_634,ASA,5236
1884,2019-09-01,NI_634,ASA,4833
1885,2019-09-10,NI_634,ASA,4481
1886,2019-09-20,NI_634,ASA,4250
1887,2019-10-01,NI_634,ASA,4193
1888,2019-10-10,NI_634,ASA,4254
1889,2019-10-20,NI_634,ASA,4407
1890,2019-11-01,NI_634,ASA,4593
1891,2019-11-10,NI_634,ASA,4771
1892,2019-11-20,NI_634,ASA,4976
1893,2019-12-01,NI_634,ASA,5114
1894,2019-12-10,NI_634,ASA,5124
1895,2019-12-20,NI_634,ASA,5012
1896,2020-01-01,NI_634,ASA,4835
1897,2020-01-10,NI_634,ASA,4663
1898,2020-01-20,NI_634,ASA,4457
1899,2020-02-01,NI_634,ASA,4240
1900,2020-02-10,NI_634,ASA,4048
1901,2020-02-20,NI_634,ASA,3883
1902,2020-03-01,NI_634,ASA,3560
1903,2020-03-10,NI_634,ASA,3234
1904,2020-03-20,NI_634,ASA,2929
1905,2020-04-01,NI_634,ASA,2673
1906,2020-04-10,NI_634,ASA,2536
1907,2020-04-20,NI_634,ASA,2472
1908,2020-05-01,NI_634,ASA,2453
1909,2020-05-10,NI_634,ASA,2508
1910,2020-05-20,NI_634,ASA,2620
1911,2020-06-01,NI_634,ASA,2830
