ID_Prod,Ano,Temporada,Parcela,Cultivo,Nom.Cob,Rot,Lab,Ras,Cob,Grid
NI_248,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2387
NI_248,2019,2.Postrera,Testigo,None,no,No,No,No,No,2387
NI_258,2016,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2019,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2387
NI_258,2019,2.Postrera,ASA,None,maíz-canavalia,Si,Si,Si,Si,2387
NI_258,2016,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2387
NI_258,2016,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2387
NI_258,2017,2.Postrera,Testigo,Frijol,no,Si,Si,No,No,2387
NI_258,2017,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2387
NI_258,2018,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2387
NI_258,2019,1.Primera,Testigo,Maiz,no,Si,Si,No,No,2387
NI_258,2019,2.Postrera,Testigo,None,no,No,No,No,No,2387
NI_295,2016,2.Postrera,ASA,Barbecho,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2016,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2017,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2017,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2018,2.Postrera,ASA,Frijol,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2018,1.Primera,ASA,Maiz,maíz-frijol-canavalia,Si,Si,Si,Si,2225
NI_295,2016,2.Postrera,Testigo,Barbecho,no,Si,Si,No,No,2225
