,FieldID,Date,ATdiff,YR
142,NI_295,2020-04-10,93,2019
143,NI_295,2020-04-20,182,2019
144,NI_307,2016-05-01,-270,2016
145,NI_307,2016-05-10,-409,2016
146,NI_307,2016-05-20,-578,2016
147,NI_307,2016-06-01,-703,2016
148,NI_307,2016-06-10,-831,2016
149,NI_307,2016-06-20,-943,2016
150,NI_307,2016-07-01,-939,2016
151,NI_307,2016-07-10,-815,2016
152,NI_307,2016-07-20,-654,2016
153,NI_307,2016-08-01,-497,2016
154,NI_307,2016-08-10,-321,2016
155,NI_307,2016-08-20,-155,2016
156,NI_307,2016-09-01,-44,2016
157,NI_307,2016-09-10,-30,2016
158,NI_307,2016-09-20,-64,2016
159,NI_307,2016-10-01,-116,2016
160,NI_307,2016-10-10,-161,2016
161,NI_307,2016-10-20,-196,2016
162,NI_307,2016-11-01,-250,2016
163,NI_307,2016-11-10,-335,2016
164,NI_307,2016-11-20,-408,2016
165,NI_307,2016-12-01,-472,2016
166,NI_307,2016-12-10,-617,2016
167,NI_307,2016-12-20,-925,2016
168,NI_307,2017-01-01,-982,2016
169,NI_307,2017-01-10,-903,2016
170,NI_307,2017-01-20,-848,2016
171,NI_307,2017-02-01,-743,2016
172,NI_307,2017-02-10,-666,2016
173,NI_307,2017-02-20,-482,2016
174,NI_307,2017-03-01,8,2016
175,NI_307,2017-03-10,90,2016
176,NI_307,2017-03-20,154,2016
177,NI_307,2017-04-01,151,2016
178,NI_307,2017-04-10,107,2016
179,NI_307,2017-04-20,177,2016
180,NI_307,2017-05-01,266,2017
181,NI_307,2017-05-10,316,2017
182,NI_307,2017-05-20,321,2017
183,NI_307,2017-06-01,298,2017
184,NI_307,2017-06-10,288,2017
185,NI_307,2017-06-20,271,2017
186,NI_307,2017-07-01,257,2017
187,NI_307,2017-07-10,323,2017
188,NI_307,2017-07-20,261,2017
189,NI_307,2017-08-01,270,2017
190,NI_307,2017-08-10,311,2017
191,NI_307,2017-08-20,186,2017
192,NI_307,2017-09-01,174,2017
193,NI_307,2017-09-10,243,2017
194,NI_307,2017-09-20,280,2017
195,NI_307,2017-10-01,314,2017
196,NI_307,2017-10-10,328,2017
197,NI_307,2017-10-20,282,2017
198,NI_307,2017-11-01,107,2017
199,NI_307,2017-11-10,-80,2017
200,NI_307,2017-11-20,-159,2017
201,NI_307,2017-12-01,-13,2017
202,NI_307,2017-12-10,152,2017
203,NI_307,2017-12-20,263,2017
204,NI_307,2018-01-01,298,2017
205,NI_307,2018-01-10,293,2017
206,NI_307,2018-01-20,304,2017
207,NI_307,2018-02-01,283,2017
208,NI_307,2018-02-10,254,2017
209,NI_307,2018-02-20,240,2017
210,NI_307,2018-03-01,314,2017
211,NI_307,2018-03-10,283,2017
212,NI_307,2018-03-20,277,2017
213,NI_307,2018-04-01,210,2017
214,NI_307,2018-04-10,212,2017
215,NI_307,2018-04-20,152,2017
216,NI_307,2018-05-01,-58,2018
217,NI_307,2018-05-10,-546,2018
218,NI_307,2018-05-20,-843,2018
219,NI_307,2018-06-01,-780,2018
220,NI_307,2018-06-10,-553,2018
221,NI_307,2018-06-20,-406,2018
222,NI_307,2018-07-01,-327,2018
223,NI_307,2018-07-10,-278,2018
224,NI_307,2018-07-20,-208,2018
225,NI_307,2018-08-01,-94,2018
226,NI_307,2018-08-10,3,2018
227,NI_307,2018-08-20,33,2018
228,NI_307,2018-09-01,137,2018
229,NI_307,2018-09-10,156,2018
230,NI_307,2018-09-20,187,2018
231,NI_307,2018-10-01,163,2018
232,NI_307,2018-10-10,189,2018
233,NI_307,2018-10-20,354,2018
234,NI_307,2018-11-01,416,2018
235,NI_307,2018-11-10,276,2018
236,NI_307,2018-11-20,-48,2018
237,NI_307,2018-12-01,-292,2018
238,NI_307,2018-12-10,-294,2018
239,NI_307,2018-12-20,-182,2018
240,NI_307,2019-01-01,-87,2018
241,NI_307,2019-01-10,169,2018
242,NI_307,2019-01-20,530,2018
243,NI_307,2019-02-01,596,2018
244,NI_307,2019-02-10,434,2018
245,NI_307,2019-02-20,324,2018
246,NI_307,2019-03-01,265,2018
247,NI_307,2019-03-10,189,2018
248,NI_307,2019-03-20,157,2018
249,NI_307,2019-04-01,163,2018
250,NI_307,2019-04-10,213,2018
251,NI_307,2019-04-20,274,2018
252,NI_307,2019-05-01,365,2019
253,NI_307,2019-05-10,412,2019
254,NI_307,2019-05-20,369,2019
255,NI_307,2019-06-01,302,2019
256,NI_307,2019-06-10,250,2019
257,NI_307,2019-06-20,260,2019
258,NI_307,2019-07-01,489,2019
259,NI_307,2019-07-10,439,2019
260,NI_307,2019-07-20,337,2019
261,NI_307,2019-08-01,181,2019
262,NI_307,2019-08-10,52,2019
263,NI_307,2019-08-20,182,2019
264,NI_307,2019-09-01,1045,2019
265,NI_307,2019-09-10,1717,2019
266,NI_307,2019-09-20,1980,2019
267,NI_307,2019-10-01,2442,2019
268,NI_307,2019-10-10,2571,2019
269,NI_307,2019-10-20,1960,2019
270,NI_307,2019-11-01,1102,2019
271,NI_307,2019-11-10,440,2019
272,NI_307,2019-11-20,106,2019
273,NI_307,2019-12-01,92,2019
274,NI_307,2019-12-10,281,2019
275,NI_307,2019-12-20,627,2019
276,NI_307,2020-01-01,1484,2019
277,NI_307,2020-01-10,2070,2019
278,NI_307,2020-01-20,2108,2019
279,NI_307,2020-02-01,1384,2019
280,NI_307,2020-02-10,595,2019
281,NI_307,2020-02-20,339,2019
282,NI_307,2020-03-01,160,2019
283,NI_307,2020-03-10,77,2019
284,NI_307,2020-03-20,25,2019
285,NI_307,2020-04-01,-30,2019
286,NI_307,2020-04-10,-94,2019
287,NI_307,2020-04-20,-136,2019
288,NI_313,2016-05-01,401,2016
289,NI_313,2016-05-10,478,2016
290,NI_313,2016-05-20,486,2016
291,NI_313,2016-06-01,551,2016
292,NI_313,2016-06-10,598,2016
293,NI_313,2016-06-20,593,2016
294,NI_313,2016-07-01,521,2016
295,NI_313,2016-07-10,448,2016
296,NI_313,2016-07-20,368,2016
297,NI_313,2016-08-01,252,2016
298,NI_313,2016-08-10,141,2016
299,NI_313,2016-08-20,22,2016
300,NI_313,2016-09-01,-108,2016
301,NI_313,2016-09-10,-176,2016
302,NI_313,2016-09-20,-196,2016
303,NI_313,2016-10-01,-173,2016
304,NI_313,2016-10-10,-105,2016
305,NI_313,2016-10-20,-12,2016
306,NI_313,2016-11-01,79,2016
307,NI_313,2016-11-10,226,2016
308,NI_313,2016-11-20,410,2016
309,NI_313,2016-12-01,522,2016
310,NI_313,2016-12-10,551,2016
311,NI_313,2016-12-20,563,2016
312,NI_313,2017-01-01,612,2016
313,NI_313,2017-01-10,580,2016
314,NI_313,2017-01-20,499,2016
315,NI_313,2017-02-01,433,2016
316,NI_313,2017-02-10,353,2016
317,NI_313,2017-02-20,321,2016
318,NI_313,2017-03-01,236,2016
319,NI_313,2017-03-10,211,2016
320,NI_313,2017-03-20,187,2016
321,NI_313,2017-04-01,181,2016
322,NI_313,2017-04-10,181,2016
323,NI_313,2017-04-20,190,2016
324,NI_313,2017-05-01,207,2017
325,NI_313,2017-05-10,247,2017
326,NI_313,2017-05-20,270,2017
327,NI_313,2017-06-01,340,2017
328,NI_313,2017-06-10,395,2017
329,NI_313,2017-06-20,447,2017
330,NI_313,2017-07-01,506,2017
331,NI_313,2017-07-10,587,2017
332,NI_313,2017-07-20,689,2017
333,NI_313,2017-08-01,791,2017
334,NI_313,2017-08-10,887,2017
335,NI_313,2017-08-20,957,2017
336,NI_313,2017-09-01,960,2017
337,NI_313,2017-09-10,950,2017
338,NI_313,2017-09-20,960,2017
339,NI_313,2017-10-01,928,2017
340,NI_313,2017-10-10,891,2017
341,NI_313,2017-10-20,874,2017
342,NI_313,2017-11-01,848,2017
343,NI_313,2017-11-10,793,2017
344,NI_313,2017-11-20,671,2017
345,NI_313,2017-12-01,511,2017
346,NI_313,2017-12-10,503,2017
347,NI_313,2017-12-20,564,2017
348,NI_313,2018-01-01,576,2017
349,NI_313,2018-01-10,582,2017
350,NI_313,2018-01-20,554,2017
351,NI_313,2018-02-01,466,2017
352,NI_313,2018-02-10,370,2017
353,NI_313,2018-02-20,313,2017
