,FieldID,Date,AT_VIdiff,AgYR,SZNwindow,DATEmean,DATEstd,SZNmean,SZNstd,Group
0,NI_295,2016-05-01,166,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
1,NI_307,2016-05-01,584,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,1: (A>T) more than MEAN+1SD
2,NI_313,2016-05-01,337,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
3,NI_385,2016-05-01,-226,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,3: (t>a) btwn 0 and MEAN-1SD
4,NI_407,2016-05-01,-38,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,3: (t>a) btwn 0 and MEAN-1SD
5,NI_248,2016-05-01,198,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
6,NI_258,2016-05-01,241,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
7,NI_147,2016-05-01,557,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,1: (A>T) more than MEAN+1SD
8,NI_192,2016-05-01,-802,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,4: (T>A) less than MEAN-1SD
9,NI_218,2016-05-01,305,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
10,NI_480,2016-05-01,961,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,1: (A>T) more than MEAN+1SD
11,NI_660,2016-05-01,142,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
12,NI_697,2016-05-01,395,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
13,NI_470,2016-05-01,103,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
14,NI_482,2016-05-01,-308,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,4: (T>A) less than MEAN-1SD
15,NI_599,2016-05-01,101,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
16,NI_634,2016-05-01,-473,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,4: (T>A) less than MEAN-1SD
17,NI_698,2016-05-01,150,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
18,NI_581,2016-05-01,116,2016,main crop,132.05263157894737,395.9666756017916,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
19,NI_295,2016-05-10,14,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
20,NI_307,2016-05-10,489,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
21,NI_313,2016-05-10,383,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
22,NI_385,2016-05-10,-230,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,3: (t>a) btwn 0 and MEAN-1SD
23,NI_407,2016-05-10,-44,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,3: (t>a) btwn 0 and MEAN-1SD
24,NI_248,2016-05-10,255,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
25,NI_258,2016-05-10,125,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
26,NI_147,2016-05-10,482,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
27,NI_192,2016-05-10,-800,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,4: (T>A) less than MEAN-1SD
28,NI_218,2016-05-10,395,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
29,NI_480,2016-05-10,934,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,1: (A>T) more than MEAN+1SD
30,NI_660,2016-05-10,182,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
31,NI_697,2016-05-10,402,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
32,NI_470,2016-05-10,74,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
33,NI_482,2016-05-10,-281,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,4: (T>A) less than MEAN-1SD
34,NI_599,2016-05-10,121,2016,main crop,125.42105263157895,381.0682813981233,45.59356725146199,323.70400523989764,2: (a>t) btwn 0 and MEAN+1SD
