,FieldID,Date,ATdiff,YR
1541,NI_480,2019-02-20,446,2018
1542,NI_480,2019-03-01,867,2018
1543,NI_480,2019-03-10,858,2018
1544,NI_480,2019-03-20,1026,2018
1545,NI_480,2019-04-01,1144,2018
1546,NI_480,2019-04-10,971,2018
1547,NI_480,2019-04-20,574,2018
1548,NI_480,2019-05-01,198,2019
1549,NI_480,2019-05-10,-5,2019
1550,NI_480,2019-05-20,-27,2019
1551,NI_480,2019-06-01,-53,2019
1552,NI_480,2019-06-10,-32,2019
1553,NI_480,2019-06-20,-36,2019
1554,NI_480,2019-07-01,-31,2019
1555,NI_480,2019-07-10,-18,2019
1556,NI_480,2019-07-20,10,2019
1557,NI_480,2019-08-01,47,2019
1558,NI_480,2019-08-10,36,2019
1559,NI_480,2019-08-20,-97,2019
1560,NI_480,2019-09-01,-121,2019
1561,NI_480,2019-09-10,-1,2019
1562,NI_480,2019-09-20,174,2019
1563,NI_480,2019-10-01,275,2019
1564,NI_480,2019-10-10,206,2019
1565,NI_480,2019-10-20,8,2019
1566,NI_480,2019-11-01,-152,2019
1567,NI_480,2019-11-10,-160,2019
1568,NI_480,2019-11-20,-77,2019
1569,NI_480,2019-12-01,11,2019
1570,NI_480,2019-12-10,38,2019
1571,NI_480,2019-12-20,58,2019
1572,NI_480,2020-01-01,-29,2019
1573,NI_480,2020-01-10,-72,2019
1574,NI_480,2020-01-20,-25,2019
1575,NI_480,2020-02-01,17,2019
1576,NI_480,2020-02-10,43,2019
1577,NI_480,2020-02-20,-238,2019
1578,NI_480,2020-03-01,-229,2019
1579,NI_480,2020-03-10,-331,2019
1580,NI_480,2020-03-20,-323,2019
1581,NI_480,2020-04-01,-250,2019
1582,NI_480,2020-04-10,-103,2019
1583,NI_480,2020-04-20,64,2019
1584,NI_660,2016-05-01,44,2016
1585,NI_660,2016-05-10,45,2016
1586,NI_660,2016-05-20,45,2016
1587,NI_660,2016-06-01,40,2016
1588,NI_660,2016-06-10,34,2016
1589,NI_660,2016-06-20,25,2016
1590,NI_660,2016-07-01,4,2016
1591,NI_660,2016-07-10,0,2016
1592,NI_660,2016-07-20,-7,2016
1593,NI_660,2016-08-01,-12,2016
1594,NI_660,2016-08-10,-5,2016
1595,NI_660,2016-08-20,3,2016
1596,NI_660,2016-09-01,11,2016
1597,NI_660,2016-09-10,9,2016
1598,NI_660,2016-09-20,-4,2016
1599,NI_660,2016-10-01,-24,2016
1600,NI_660,2016-10-10,-43,2016
1601,NI_660,2016-10-20,-52,2016
1602,NI_660,2016-11-01,-55,2016
1603,NI_660,2016-11-10,-65,2016
1604,NI_660,2016-11-20,-110,2016
1605,NI_660,2016-12-01,-157,2016
1606,NI_660,2016-12-10,-96,2016
1607,NI_660,2016-12-20,181,2016
1608,NI_660,2017-01-01,580,2016
1609,NI_660,2017-01-10,1185,2016
1610,NI_660,2017-01-20,1463,2016
1611,NI_660,2017-02-01,1678,2016
1612,NI_660,2017-02-10,1720,2016
1613,NI_660,2017-02-20,1617,2016
1614,NI_660,2017-03-01,1486,2016
1615,NI_660,2017-03-10,1360,2016
1616,NI_660,2017-03-20,1241,2016
1617,NI_660,2017-04-01,1085,2016
1618,NI_660,2017-04-10,967,2016
1619,NI_660,2017-04-20,626,2016
1620,NI_660,2017-05-01,219,2017
